Index,Helper,Feature Name,Full Name,String Length,Source/ Reference
1,B,Palladium_spot_price,Palladium Spot Price,20,BASF Metals internal data
2,C,Platinum_spot_price,Platinum Spot Price,19,BASF Metals internal data
3,D,Rhodium_spot_price,Rhodium Spot Price,18,BASF Metals internal data
4,E,COAL_AUS_USD_M,"Global price of Coal, Australia",31,"Global price of Coal, Australia (PCOALAUUSDM) | FRED | St. Louis Fed (stlouisfed.org)"
5,F,EXR_RUSSIAN_RUBLE_USD,Exchange Rate Rubel to USD,26,National Currency to US Dollar Exchange Rate: Average of Daily Rates for the Russian Federation (CCUSMA02RUM618N) | FRED | St. Louis Fed (stlouisfed.org)
6,G,GDP_GERMANY_EUR,GDP Germany,11,https://fred.stlouisfed.org/series/CLVMNACSCAB1GQDE
7,H,GDP_EU27_EUR,GDP EU,6,https://fred.stlouisfed.org/series/CLVMNACSCAB1GQEU28
8,I,GDP_US_USD,GDP US,6,https://fred.stlouisfed.org/series/GDP
9,J,GDP_China_sameQ%,GDP China,9,https://fred.stlouisfed.org/series/MKTGDPCNA646NWDB
10,K,WTI_USD_BARREL,WTI Crude Price ,16,https://fred.stlouisfed.org/series/DCOILWTICO
11,L,BRENT_USD_BARREL,Brent Crude Price,17,https://fred.stlouisfed.org/series/POILBREUSDM
12,M,EXR_USD_EUR,Exchange Rate USD to Euro,25,U.S. Dollars to Euro Spot Exchange Rate (DEXUSEU) | FRED | St. Louis Fed (stlouisfed.org)
13,N,BALTIC_DRY_IDX,Baltic Dry Index,16,https://www.investing.com/indices/baltic-dry
14,O,EXR_CNY_USD,Exchange rate CNY to USD,24,Chinese Yuan Renminbi to U.S. Dollar Spot Exchange Rate (DEXCHUS) | FRED | St. Louis Fed (stlouisfed.org)
15,P,NAT_GAS_HHUB_USD_MBTU,Henry Hub Natural Gas Spot Pric,31,Henry Hub Natural Gas Spot Price (DHHNGSP) | FRED | St. Louis Fed (stlouisfed.org)
16,Q,VIX,CBOE Volatility Index: VIX,26,https://fred.stlouisfed.org/searchresults/?st=VIX
17,R,CLI_US,Consumer Leading Indicator: US,30,https://fred.stlouisfed.org/series/USALOLITONOSTSAM
18,S,CLI_CHN,Consumer Leading Indicator: China,33,https://fred.stlouisfed.org/series/CHNLOLITONOSTSAM
19,T,CLI_EURO,Consumer Leading Indicator: Euro,32,https://fred.stlouisfed.org/series/EA19LOLITOAASTSAM
20,U,CPILFESL,Consumper Price Index: All Items,32,https://fred.stlouisfed.org/series/CPILFESL
21,V,PET.RWTC.M,"Crushing, OK, WTI Spot Price",28,U.S. Energy Information Administration (EIA) - Qb
22,W,PALLFNFINDEXQ,Global Price Index of All Commodities,37,Global Price Index of All Commodities (PALLFNFINDEXQ) | FRED | St. Louis Fed (stlouisfed.org)
23,X,DEXSFUS,Exchange Rate Rand to USD,25,South African Rand to U.S. Dollar Spot Exchange Rate (DEXSFUS) | FRED | St. Louis Fed (stlouisfed.org)
24,Y,PNICKUSDM,Global Nickel Price,19,Forecasty.AI LME Nickel Price
25,Z,WPU1011,Producer Price Index: Iron Ore,30,Forecasty.AI Investing Nickel Futures
26,AA,PCU3399103399101,"Producer Price Index: Jewelry, Gold, Platinum",45,"Producer Price Index by Industry: Jewelry and Silverware Manufacturing: Jewelry, Gold and Platinum (PCU3399103399101) | FRED | St. Louis Fed (stlouisfed.org)"
27,AB,TSIFRGHTC,Freight Transportation Services Index,37,https://fred.stlouisfed.org/series/TSIFRGHTC
28,AC,SP500,S&P 500,7,https://fred.stlouisfed.org/series/SP500
29,AD,PPICMM,Producer Price Index: Primary Nonferrous Metals,47,Producer Price Index by Commodity: Metals and Metal Products: Primary Nonferrous Metals (PPICMM) | FRED | St. Louis Fed (stlouisfed.org)
30,AE,IPB50001N,Industrial Production: Total Index,34,https://fred.stlouisfed.org/series/IPB50001N
31,AF,A31ATI,Manufacturers Total Inventories: Iron & Steel,45,https://fred.stlouisfed.org/series/A31ATI
32,AG,A31ANO,Manufacturers New Orders: Iron & Steel,38,https://fred.stlouisfed.org/series/A31ANO
33,AH,IPG21223S,"Industrial Production: Copper, Nickel Mining",44,"Industrial Production: Mining, Quarrying, and Oil and Gas Extraction: Copper, Nickel, Lead, and Zinc Mining (NAICS = 21223) (IPG21223S) | FRED | St. Louis Fed (stlouisfed.org)"
34,AI,PIORECRUSDM,Global Iron Ore Price,21,https://fred.stlouisfed.org/series/PIORECRUSDM
35,AJ,GVZCLS,CBOE Gold ETF Volatility Index,30,https://fred.stlouisfed.org/series/GVZCLS
36,AK,VXSLVCLS,CBOE Silver ETF Volatility Index,32,https://fred.stlouisfed.org/series/VXSLVCLS
37,AL,PNRGINDEXM,Global price of Energy index,28,Global price of Energy index (PNRGINDEXM) | FRED | St. Louis Fed (stlouisfed.org)
38,AM,Nikkei225,"Nikkei Stock Average, Nikkei 225",32,https://fred.stlouisfed.org/series/NIKKEI225
39,AN,EXJPUS,Exchange Rate Yen to USD,24,Japanese Yen to U.S. Dollar Spot Exchange Rate (EXJPUS) | FRED | St. Louis Fed (stlouisfed.org)
40,AO,PCU33613361,Producer Price Index: Motor Vehicle Manufacturing,49,https://fred.stlouisfed.org/series/PCU33613361
41,AP,TOTALSA,Total Vehicle Sales,19,https://fred.stlouisfed.org/series/TOTALSA
42,AQ,ZAFCPIALLMINMEI,Consumer Price Index: All Items South Africa,44,https://fred.stlouisfed.org/series/ZAFCPIALLMINMEI
43,AR,LCULMN01ZAQ661S,Total Unit Labor Cost: South Africa,35,Total Unit Labor Cost: Manufacturing for South Africa (LCULMN01ZAQ661S) | FRED | St. Louis Fed (stlouisfed.org)
44,AS,NGDPRSAXDCZAQ,GDP South Africa,16,https://fred.stlouisfed.org/series/NGDPRSAXDCZAQ
45,AT,M.W00.PCOBA.USD,Cobalt Price,12,Forecasty.AI LME Cobalt Price
46,AU,BSCICP03OECDE,Busines Confidence Index,24,Business Tendency Surveys for Manufacturing: Confidence Indicators: Composite Indicators: OECD Indicator for the OECD and Non-member Economies (BSCICP03O9M665S) | FRED | St. Louis Fed (stlouisfed.org)
47,AV,LOLITOAAUSA,Consumer Leading Indicator,26,Leading Indicators OECD: Leading indicators: CLI: Amplitude adjusted for OECD - Total (OECDLOLITOAASTSAM) | FRED | St. Louis Fed (stlouisfed.org)
48,AW,IP7110,Import Price Index: Platinum Type,33,"Import Price Index (Harmonized System): Platinum, Unwrought or in Semimanufactured Forms, or in Powder Form (IP7110) | FRED | St. Louis Fed (stlouisfed.org)"
49,AX,WPS061,Producer Price Index: Industrial Chemicals,42,Producer Price Index by Commodity: Chemicals and Allied Products: Industrial Chemicals (WPS061) | FRED | St. Louis Fed (stlouisfed.org)
50,AY,GS10,Market Yield US 10-Year,23,Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity (GS10) | FRED | St. Louis Fed (stlouisfed.org)
51,AZ,GS5,Market Yield US 5-Year,22,Market Yield on U.S. Treasury Securities at 5-Year Constant Maturity (GS5) | FRED | St. Louis Fed (stlouisfed.org)
