,forecast,lower,upper
2019-09-01,839.3781314605303,753.1943054358429,929.8742439192137
2019-10-01,954.2200240652516,851.5252474214576,1060.0114178369965
2019-11-01,897.2910137384152,803.0256122467335,996.7775053584146
2019-12-01,897.4076639343238,803.2759314931143,988.035422992796
2020-01-01,937.9366812097015,840.8249031304932,1038.8049771540755
2020-02-01,986.7919178524894,881.4201020662373,1099.1338495235564
2020-03-01,933.3183521782222,826.1708282702261,1034.7101134574186
2020-04-01,742.9305411211723,654.4470687943992,821.4981719223049
2020-05-01,758.7870665984499,679.0686232414123,836.4559264527121
2020-06-01,851.9272132523183,758.8255636261408,942.5912113448753
2020-07-01,874.8279508555837,779.7528226255025,971.4858635943634
2020-08-01,904.2099361019303,810.9620578129868,997.5405683690217
2020-09-01,960.13376874139,858.5759085155137,1059.3925086403233
2020-10-01,928.2351665720605,834.7440561703909,1029.3804749027204
2020-11-01,899.4785660464793,803.673642831148,995.3611836698597
2020-12-01,925.3787893167702,822.9105292251778,1028.893573472264
2021-01-01,1030.4900202357333,906.2293846529467,1150.357977867743
2021-02-01,1113.102640424538,987.2257708108756,1231.7185178507893
2021-03-01,1187.676302655496,1048.2780206238076,1326.8144206304057
2021-04-01,1151.5459788138462,1023.9649383052465,1279.378157010551
2021-05-01,1187.0432199630786,1055.410973693836,1322.6496137601603
2021-06-01,1160.5263173506976,1025.7450468251282,1292.207548415494
2021-07-01,1072.4006872569128,953.9271397437542,1195.9710802368102
2021-08-01,1093.6279342788773,970.9058180816727,1210.9098686268671
