,forecast,lower,upper
2019-11-01,813.8643448763603,637.1588947166441,993.1368917104445
2019-12-01,887.0998940921417,703.789229561491,1088.1766033277327
2020-01-01,849.6382226081624,667.2394542689298,1055.1455061818542
2020-02-01,852.4464280800546,669.5565381751671,1060.7316477968673
2020-03-01,938.735393336226,756.6655243628343,1136.0708842620643
2020-04-01,998.0747015583662,807.845179270024,1212.758573139452
2020-05-01,998.7267471000471,789.0947710605373,1189.168501226624
2020-06-01,748.9560837337174,600.1839514526212,891.8319146603014
2020-07-01,887.149691991388,747.4637178673833,1049.944983394647
2020-08-01,879.448464101345,720.8566787792332,1050.9168770759381
2020-09-01,901.8100402209227,756.0271879658388,1078.3791581722735
2020-10-01,945.462869510242,780.728136920099,1142.0115488596116
2020-11-01,935.0567462381721,760.0703855518993,1157.866105990814
2020-12-01,894.8525301551327,722.4087468023829,1096.8654430138868
2021-01-01,899.7559310085187,728.0140988612195,1098.2590860422079
2021-02-01,893.6742804404994,718.712708124613,1089.2528099003016
2021-03-01,1000.0723478978483,781.8910453866774,1251.4496148891753
2021-04-01,888.9745370845648,679.6629555569301,1133.6859615373155
2021-05-01,1016.2938039145629,774.5429825796225,1308.7974572834735
2021-06-01,980.6936209788055,743.0220640561174,1243.3928027558027
2021-07-01,1032.5664263420329,791.134430253411,1315.2919520597975
2021-08-01,1143.1488799839576,903.9678128819772,1413.6147530365988
2021-09-01,936.7605762592407,706.4673456485581,1191.4062336920788
2021-10-01,1089.7104051804633,888.7177346726195,1321.8101777071988
